"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"63","3.14147475","230","3.1419405","251","3.14152075","234","3.142501","253","3.14119975","260","3.14180775","247","3.141243","261","3.14129325","260","3.14208925","253","3.141451","257","3.1415475","261","3.1416435","262","3.1416745","260","3.140577","261","3.1415688214285717","253","262"
"64","3.14164575","235","3.14205","238","3.141609","264","3.1411935","238","3.1411385","267","3.1421415","265","3.14132075","268","3.14209775","260","3.141633","245","3.141672","256","3.14182075","260","3.141515","255","3.141579","264","3.1412945","261","3.141622214285714","255","268"
"65","3.1414055","274","3.14137125","263","3.1412295","274","3.1425025","234","3.141677","274","3.14209175","259","3.14157275","240","3.1415265","274","3.142466","274","3.14195375","274","3.14168775","273","3.141634","274","3.14153975","274","3.14180525","274","3.141747374999999","266","274"
"66","3.14227875","246","3.1417685","254","3.1415965","252","3.14156875","242","3.14121475","246","3.14152525","254","3.14168125","257","3.142099","266","3.14236275","264","3.141516","235","3.141602","246","3.141999","256","3.1418805","261","3.14238875","261","3.1418201249999997","252","266"
"67","3.1410515","258","3.1410045","256","3.141616","259","3.140908","260","3.14108575","255","3.14114725","260","3.14151675","262","3.141799","264","3.1417525","255","3.14094775","259","3.14150325","255","3.14104875","258","3.1419475","255","3.14216025","264","3.141392053571429","258","264"
"68","3.14135175","260","3.14113175","260","3.14081","266","3.1411965","261","3.14207925","261","3.14129275","262","3.1410555","264","3.14146525","261","3.142287","261","3.141497","261","3.141982","268","3.140995","271","3.1419075","267","3.1413765","266","3.141459125","263","272"
"69","3.1417535","263","3.14162325","256","3.141986","265","3.14198325","264","3.140856","250","3.14129675","262","3.14153975","261","3.14122975","250","3.1416915","250","3.14121975","258","3.1416315","243","3.141323","255","3.14190625","256","3.14093925","258","3.141498535714286","256","265"
"70","3.14142","279","3.1415925","271","3.14121075","271","3.14137125","275","3.142309","271","3.141171","276","3.14215875","274","3.14180725","275","3.14145475","271","3.14188725","275","3.140891","271","3.141958","277","3.14151675","278","3.14117525","271","3.1415659642857148","273","279"
"71","3.142428","248","3.141738","249","3.14160025","265","3.14170475","256","3.141856","262","3.14137275","259","3.14088475","255","3.14128925","252","3.142318","261","3.14159675","248","3.141354","257","3.141972","254","3.14230325","257","3.14117725","259","3.1416853571428573","255","265"
"72","3.1414155","264","3.1418375","264","3.1413895","271","3.1413725","250","3.142116","260","3.141054","263","3.14200475","264","3.141848","263","3.141487","270","3.1425005","264","3.1418645","265","3.1423235","270","3.1415325","269","3.1420685","269","3.141772446428571","264","271"
