"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Average Result","Average Runtime (ms)","Total Runtime (ms)"
"92","3.1413345","245","3.1420465","254","3.14103525","246","3.14176125","256","3.1416715","254","3.1417365","255","3.141333","252","3.14134425","254","3.14105675","254","3.141127","245","3.142081","218","3.1415475","224","3.1411395","245","3.1414780384615386","246","257"
"93","3.1419705","242","3.141253","249","3.14207875","249","3.141142","249","3.14178175","249","3.141372","249","3.14091075","249","3.14197025","248","3.141074","240","3.14086775","240","3.1415235","263","3.1421255","248","3.14271325","244","3.1415986923076917","247","264"
"94","3.14157375","241","3.141444","237","3.141868","241","3.141183","240","3.14202125","246","3.14173975","245","3.1414635","236","3.14197525","238","3.1418155","247","3.14148725","242","3.1418845","239","3.1414095","242","3.141855","241","3.1416707884615387","241","247"
"95","3.1411055","249","3.14165125","247","3.141348","242","3.14152125","242","3.141927","248","3.1412275","243","3.14199525","248","3.14174525","249","3.14171","239","3.142489","248","3.14151925","248","3.14137425","248","3.14074025","248","3.141565673076923","246","249"
"96","3.14093375","247","3.1410535","243","3.1409915","238","3.14149525","238","3.1410265","248","3.14203025","254","3.14152125","248","3.1421165","247","3.14121075","238","3.141727","251","3.141256","243","3.14115125","243","3.14152275","243","3.141387403846154","244","254"
"97","3.141768","252","3.14146775","251","3.1408605","246","3.1417655","254","3.14139025","251","3.1407885","252","3.140976","252","3.1419885","253","3.14222375","246","3.1409635","252","3.140563","252","3.1414495","252","3.14186025","252","3.1413896153846155","251","254"
"98","3.140914","247","3.141651","248","3.14095875","245","3.1408675","245","3.1418065","248","3.1417315","244","3.1422555","244","3.142","250","3.140952","248","3.141896","248","3.1419215","245","3.1420565","248","3.14137","240","3.14156775","246","250"
"99","3.14179325","241","3.14164475","241","3.14146725","248","3.141684","247","3.14206775","248","3.14152525","241","3.14160575","256","3.1417435","237","3.14230575","241","3.141157","248","3.142069","251","3.1420845","257","3.14206275","255","3.1417854230769233","247","257"
"100","3.1415635","219","3.14187825","246","3.14196075","253","3.1418135","260","3.1420565","246","3.1411155","248","3.1410305","246","3.141056","220","3.140773","257","3.1418395","246","3.14221525","256","3.1422685","246","3.141195","261","3.1415973653846154","246","261"
"Averages","3.141560974999999","236","3.1416133875000014","246","3.1416152400000015","247","3.1416340549999995","247","3.1416194199999996","248","3.1416283799999998","246","3.1415530474999995","248","3.1416409699999996","247","3.141504957500002","247","3.1414903725","246","3.141582597500001","246","3.141663137500002","246","3.1416017999999992","246","3.1415929492307693","245","255"
