"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Total Runtime (ms)"
"68","3.14183475","212","3.14156975","212","3.1418915","212","3.141709","212","3.141552","212","3.14157425","212","3.14078225","212","3.1412035","212","3.141368","212","3.14247575","212","3.141444","212","212"
"69","3.14098475","211","3.141799","211","3.14173975","211","3.14114225","211","3.14145175","211","3.141118","211","3.141422","211","3.1411205","211","3.141816","211","3.1410225","211","3.141429","211","211"
"70","3.141551","207","3.141602","207","3.14202375","207","3.1418725","207","3.1409095","207","3.1417565","207","3.141859","207","3.14178575","207","3.14174025","207","3.14171675","207","3.14167725","207","207"
"71","3.14129175","216","3.14219725","216","3.14134025","216","3.141737","216","3.142225","216","3.1423345","216","3.1417475","216","3.141491","216","3.14148025","216","3.14054175","216","3.141184","216","216"
"72","3.1422145","214","3.14139725","214","3.1413505","214","3.14180075","214","3.141984","214","3.141467","214","3.14089275","214","3.1417815","214","3.1417135","214","3.1411265","214","3.141843","214","214"
"73","3.1423205","208","3.14191025","208","3.14191775","208","3.1416585","208","3.14198925","208","3.14221625","208","3.1420645","208","3.14105575","208","3.14152475","208","3.14178725","208","3.1416815","208","208"
"74","3.141637","215","3.141078","215","3.14061175","215","3.14123125","215","3.1418015","215","3.14192525","215","3.14149425","215","3.14173425","215","3.14136725","215","3.14061925","215","3.1418775","215","215"
"75","3.141122","218","3.14181775","218","3.14233025","218","3.141374","218","3.142054","218","3.14187875","218","3.14086275","218","3.14197","218","3.14171775","218","3.1419775","218","3.141272","218","218"
"76","3.14144225","211","3.1424335","211","3.14275575","211","3.1414695","211","3.14198175","211","3.14177025","211","3.14185675","211","3.14174","211","3.1417715","211","3.141589","211","3.142277","211","211"
"77","3.141556","214","3.14138525","214","3.14200675","214","3.14126775","214","3.14156975","214","3.141524","214","3.1410925","214","3.14113525","214","3.14135025","214","3.1425155","214","3.1420995","214","214"
"78","3.141727","213","3.14213225","213","3.14155075","213","3.141779","213","3.141834","213","3.14167875","213","3.141046","213","3.14234325","213","3.14179525","213","3.14126825","213","3.14177675","213","214"
"79","3.1420165","217","3.1421705","217","3.141158","217","3.141348","217","3.14154425","217","3.1415015","217","3.14156175","217","3.14172925","217","3.141374","217","3.1414275","217","3.141933","217","217"
"80","3.1410645","215","3.141715","215","3.141215","215","3.14175275","215","3.1407885","215","3.14237225","215","3.142201","215","3.14120675","215","3.14159625","215","3.14183625","215","3.14171925","215","215"
"81","3.14148725","211","3.14197175","211","3.14070725","211","3.14206825","211","3.1415515","211","3.141591","211","3.14186375","211","3.14148075","211","3.14205275","211","3.14079875","211","3.1427415","211","211"
"82","3.14169075","214","3.14067775","214","3.14162375","214","3.1414125","214","3.141054","214","3.1420275","214","3.142155","214","3.1412885","214","3.141561","214","3.1415325","214","3.14176","214","214"
"83","3.14156525","211","3.14162175","211","3.1421075","211","3.142285","211","3.14145175","211","3.14117475","211","3.14161575","211","3.1417535","211","3.141356","211","3.1410075","211","3.141374","211","211"
"84","3.142005","211","3.14207725","211","3.140885","211","3.14143525","211","3.141699","211","3.141702","211","3.14163525","211","3.141358","211","3.14172325","211","3.1415175","211","3.141129","211","212"
"85","3.1417485","210","3.1419325","210","3.1418345","210","3.14158175","210","3.142055","210","3.140966","210","3.141503","210","3.14151725","210","3.14238","210","3.14168625","210","3.141605","210","211"
"86","3.141534","211","3.141506","211","3.1416745","211","3.14165725","211","3.140941","211","3.1422185","211","3.1414275","211","3.14212275","211","3.14145025","211","3.14137","211","3.14095625","211","211"
"87","3.14182025","213","3.1410815","213","3.14151675","213","3.140793","213","3.1417345","213","3.1415995","213","3.1417275","213","3.142665","213","3.14190425","213","3.14143825","213","3.1413255","213","214"
"88","3.141912","226","3.1420355","226","3.14136925","226","3.14153525","226","3.1407305","226","3.14186725","226","3.1412035","226","3.1413605","226","3.14208375","226","3.141942","226","3.141141","226","226"
"89","3.14147925","219","3.14196775","219","3.1423155","219","3.14165025","219","3.1420295","219","3.1414285","219","3.14097975","219","3.1417605","219","3.1415045","219","3.14114275","219","3.14079475","219","219"
"90","3.1415455","208","3.14116225","208","3.140721","208","3.14144625","208","3.1416005","208","3.14250925","208","3.14131975","208","3.14124725","208","3.14142825","208","3.141729","208","3.14199275","208","208"
"91","3.141239","209","3.141713","209","3.141722","209","3.14181425","209","3.1420975","209","3.141102","209","3.14173825","209","3.1417265","209","3.1420525","209","3.14103025","209","3.14160825","209","214"
"92","3.14159075","212","3.141712","212","3.1415035","212","3.1415305","212","3.14075925","212","3.141103","212","3.14130075","212","3.141952","212","3.14090225","212","3.14157425","212","3.140847","212","212"
"93","3.14112575","216","3.14200225","216","3.141524","216","3.14146725","216","3.14129975","216","3.14135375","216","3.1419435","216","3.1415405","216","3.1418735","216","3.14126325","216","3.14180625","216","216"
"94","3.14162125","213","3.141808","213","3.14117475","213","3.14264525","213","3.1424135","213","3.14178125","213","3.14110225","213","3.14155975","213","3.14152525","213","3.14215075","213","3.1404165","213","213"
"95","3.14162175","218","3.1416395","218","3.1413915","218","3.14116375","218","3.1417525","218","3.14214375","218","3.14191525","218","3.14152125","218","3.1417475","218","3.141967","218","3.14120625","218","218"
"96","3.14191","215","3.14222975","215","3.1418025","215","3.141343","215","3.1415905","215","3.141893","215","3.14135025","215","3.14201925","215","3.1426555","215","3.141418","215","3.141678","215","215"
"97","3.1416045","212","3.14227825","212","3.14166825","212","3.141245","212","3.14120125","212","3.1414845","212","3.14192075","212","3.14161775","212","3.14173475","212","3.1417285","212","3.14112775","212","212"
"98","3.14137125","209","3.1424045","209","3.1413015","209","3.14093125","209","3.14127025","209","3.1427335","209","3.1422665","209","3.14165675","209","3.1413215","209","3.14051675","209","3.141056","209","209"
"99","3.14143575","211","3.14156275","211","3.14188725","211","3.1407605","211","3.141926","211","3.14195275","211","3.14122375","211","3.141975","211","3.141927","211","3.14107875","211","3.141392","211","211"
"100","3.140991","214","3.1414365","214","3.141585","214","3.1417465","214","3.1415625","214","3.14194225","214","3.1420445","214","3.141734","214","3.1421725","214","3.14165575","214","3.14128525","214","214"
