"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Job[16] Result","Job[16] Runtime (ms)","Total Runtime (ms)"
"49","3.14147875","303","3.14180675","303","3.1410565","303","3.14160225","303","3.1414305","303","3.142475","303","3.14085875","303","3.142117","303","3.14228125","303","3.14168775","303","3.142202","303","3.14102275","303","3.142148","303","3.14175625","303","3.141071","303","3.14158175","303","303"
"50","3.14090175","302","3.1420765","302","3.14166575","302","3.141159","302","3.14217125","302","3.14260625","302","3.142257","302","3.1424305","302","3.141286","302","3.1411755","302","3.141495","302","3.141552","302","3.141155","302","3.141687","302","3.14119675","302","3.141238","302","302"
"51","3.1414425","306","3.14208975","306","3.142104","306","3.1416855","306","3.1413435","306","3.14088625","306","3.14134875","306","3.14247425","306","3.1413825","306","3.14141825","306","3.141558","306","3.141769","306","3.141666","306","3.142157","306","3.1416715","306","3.14189","306","306"
"52","3.14164225","304","3.14176","304","3.142047","304","3.141607","304","3.141186","304","3.14109625","304","3.140799","304","3.1413355","304","3.1410025","304","3.14187975","304","3.14188575","304","3.1404445","304","3.1410175","304","3.141231","304","3.141395","304","3.14105475","304","304"
"53","3.14209725","275","3.14124575","275","3.14174725","275","3.14071175","275","3.141288","275","3.14242225","275","3.14081475","275","3.1417855","275","3.14166475","275","3.14115725","275","3.14186875","275","3.14198125","275","3.14186275","275","3.14172475","275","3.142205","275","3.14174675","275","302"
"54","3.140909","309","3.141989","309","3.1419255","309","3.141507","309","3.142057","309","3.14128025","309","3.1418555","309","3.141848","309","3.1413925","309","3.141776","309","3.140918","309","3.1417355","309","3.14163975","309","3.14172225","309","3.14055175","309","3.14174925","309","312"
"55","3.1416515","305","3.14124625","305","3.14263375","305","3.14037975","305","3.1412335","305","3.141145","305","3.14176075","305","3.14084925","305","3.14074725","305","3.1427485","305","3.14171225","305","3.14146","305","3.141405","305","3.14225475","305","3.141968","305","3.14132525","305","305"
"56","3.14154975","301","3.14135125","301","3.14167225","301","3.14176975","301","3.142042","301","3.14122325","301","3.141694","301","3.1418705","301","3.1414685","301","3.14115775","301","3.14101575","301","3.1418085","301","3.140285","301","3.1415485","301","3.141591","301","3.141668","301","302"
"57","3.141582","311","3.14103475","311","3.14131525","311","3.1418575","311","3.14137175","311","3.14086625","311","3.14185","311","3.1415035","311","3.14171175","311","3.14245075","311","3.14195875","311","3.14136075","311","3.14181","311","3.14200825","311","3.1420915","311","3.14173875","311","312"
"58","3.141438","305","3.14105075","305","3.1413175","305","3.14178225","305","3.141653","305","3.14101","305","3.141811","305","3.14163125","305","3.14151775","305","3.1417355","305","3.142249","305","3.14132425","305","3.14071075","305","3.14197175","305","3.1418215","305","3.140771","305","306"
"59","3.1414985","310","3.1414545","310","3.14065025","310","3.14150375","310","3.1413565","310","3.14144425","310","3.141964","310","3.1416665","310","3.14115075","310","3.1421445","310","3.14138875","310","3.14177725","310","3.14192475","310","3.142119","310","3.14122325","310","3.14109","310","311"
"60","3.141634","301","3.1417075","301","3.14188825","301","3.14107","301","3.141992","301","3.1413295","301","3.14173475","301","3.14115975","301","3.14212375","301","3.14133825","301","3.141762","301","3.140893","301","3.141217","301","3.141182","301","3.14163725","301","3.1413755","301","301"
"61","3.14188925","301","3.141221","301","3.14187225","301","3.141563","301","3.14133375","301","3.141895","301","3.141843","301","3.141921","301","3.14169775","301","3.14114425","301","3.1421135","301","3.1415335","301","3.14130675","301","3.1419215","301","3.14235025","301","3.1416485","301","301"
"62","3.14167175","303","3.14178675","303","3.14127925","303","3.14079125","303","3.1414845","303","3.141357","303","3.141369","303","3.14162275","303","3.1414325","303","3.1414095","303","3.14158675","303","3.14227725","303","3.14112325","303","3.1419815","303","3.1415","303","3.1404375","303","303"
"63","3.14088175","300","3.1413005","300","3.14125","300","3.14149525","300","3.1408955","300","3.14142775","300","3.141291","300","3.1420585","300","3.1413735","300","3.141397","300","3.14121525","300","3.14134825","300","3.1414315","300","3.142008","300","3.142318","300","3.14125025","300","300"
"64","3.14173275","314","3.14142525","314","3.142296","314","3.141573","314","3.1421075","314","3.14057575","314","3.1416205","314","3.141591","314","3.1412315","314","3.1412125","314","3.142345","314","3.14118575","314","3.141384","314","3.141625","314","3.14245825","314","3.141822","314","314"
"65","3.14146575","301","3.1419235","301","3.14186075","301","3.1416295","301","3.14219925","301","3.14154875","301","3.14173075","301","3.142114","301","3.1421195","301","3.14111025","301","3.14140825","301","3.1423395","301","3.14218125","301","3.1421015","301","3.14154425","301","3.14207375","301","302"
"66","3.1420475","301","3.14131275","301","3.1418915","301","3.14167175","301","3.142071","301","3.141299","301","3.1418405","301","3.1417455","301","3.1418275","301","3.141897","301","3.14155125","301","3.14152925","301","3.14144875","301","3.1416255","301","3.141152","301","3.14237","301","301"
"67","3.14172825","300","3.141036","300","3.141488","300","3.14147575","300","3.14085925","300","3.1414465","300","3.1418945","300","3.14132625","300","3.14073725","300","3.1411055","300","3.142202","300","3.141574","300","3.141108","300","3.14202975","300","3.141829","300","3.14276625","300","300"
"68","3.14182875","307","3.14101975","307","3.1417635","307","3.14220375","307","3.1417945","307","3.141317","307","3.141731","307","3.141015","307","3.14198675","307","3.1410015","307","3.14143425","307","3.14236075","307","3.14127725","307","3.141774","307","3.1416315","307","3.141798","307","307"
"69","3.1418125","301","3.1415005","301","3.1428535","301","3.141465","301","3.141144","301","3.14181275","301","3.1412845","301","3.14173525","301","3.14131675","301","3.1412315","301","3.14163025","301","3.14191125","301","3.14186575","301","3.141519","301","3.14221275","301","3.14155125","301","302"
"70","3.14163375","306","3.14146275","306","3.1418385","306","3.14173175","306","3.1418855","306","3.142188","306","3.14192925","306","3.142958","306","3.14124","306","3.1414355","306","3.1412885","306","3.14180175","306","3.14156575","306","3.14196125","306","3.14087625","306","3.14148075","306","306"
"71","3.1425245","301","3.14098375","301","3.14178075","301","3.14161125","301","3.142338","301","3.1411265","301","3.14181075","301","3.14140575","301","3.141978","301","3.14157725","301","3.142219","301","3.1419445","301","3.14199975","301","3.14208275","301","3.141733","301","3.141541","301","301"
"72","3.1414145","308","3.14203875","308","3.141307","308","3.141682","308","3.14252525","308","3.14184025","308","3.142025","308","3.142003","308","3.1416005","308","3.1411235","308","3.141585","308","3.1420745","308","3.1415445","308","3.14152725","308","3.14146075","308","3.14167575","308","308"
"73","3.14228625","307","3.14214525","307","3.14121825","307","3.140972","307","3.142217","307","3.14154925","307","3.141919","307","3.1414845","307","3.142013","307","3.14146","307","3.1416015","307","3.1413105","307","3.141129","307","3.14183375","307","3.1414375","307","3.141461","307","307"
"74","3.141228","307","3.141612","307","3.14127175","307","3.1406695","307","3.1415915","307","3.141709","307","3.14166775","307","3.141602","307","3.14190875","307","3.14169225","307","3.14180575","307","3.1413105","307","3.140886","307","3.1414905","307","3.1413865","307","3.14150425","307","307"
"75","3.1421105","308","3.14104425","308","3.14115575","308","3.141409","308","3.141697","308","3.14179675","308","3.14131725","308","3.1416825","308","3.14039","308","3.141669","308","3.141823","308","3.14153925","308","3.14193425","308","3.14205925","308","3.14130925","308","3.1418395","308","308"
"76","3.14178775","300","3.14111125","300","3.141452","300","3.14143925","300","3.1414875","300","3.14183425","300","3.140922","300","3.1416245","300","3.14148625","300","3.14173275","300","3.14197275","300","3.14190275","300","3.1417025","300","3.14194925","300","3.141554","300","3.14197675","300","301"
"77","3.14158975","301","3.14146625","301","3.1419605","301","3.14112","301","3.14232675","301","3.1414245","301","3.14175","301","3.1419195","301","3.141382","301","3.141553","301","3.14058925","301","3.14135375","301","3.141285","301","3.14163575","301","3.1412235","301","3.141813","301","301"
"78","3.14142475","303","3.14152175","303","3.14156025","303","3.1419865","303","3.14164025","303","3.141327","303","3.1415625","303","3.14101825","303","3.1414935","303","3.14182175","303","3.14140475","303","3.1418675","303","3.142027","303","3.14110425","303","3.14123925","303","3.14135825","303","303"
"79","3.1415605","305","3.141443","305","3.1414575","305","3.141621","305","3.14234575","305","3.141755","305","3.1415345","305","3.1418445","305","3.14160375","305","3.141892","305","3.1417095","305","3.141699","305","3.1413905","305","3.1413825","305","3.14105025","305","3.14120825","305","305"
