"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Total Runtime (ms)"
"52","3.14141075","277","3.14155375","277","3.14225875","277","3.1414935","277","3.1415475","277","3.14172075","277","3.14138675","277","3.14139125","277","3.14072925","277","3.14102575","277","3.1421625","277","3.14220475","277","3.14152325","277","3.14107","277","277"
"53","3.142027","284","3.1417755","284","3.14139225","284","3.14199925","284","3.1418485","284","3.14225325","284","3.14136325","284","3.1425185","284","3.1422535","284","3.14112625","284","3.141691","284","3.14218125","284","3.14161325","284","3.14200475","284","285"
"54","3.14191225","267","3.14117875","267","3.141964","267","3.14104025","267","3.14131725","267","3.14206825","267","3.1415315","267","3.1422575","267","3.1413935","267","3.14207475","267","3.14126975","267","3.14171575","267","3.1415725","267","3.14141175","267","267"
"55","3.14143525","277","3.14152875","277","3.14160575","277","3.14182875","277","3.1412215","277","3.14114425","277","3.14121325","277","3.14111775","277","3.14211425","277","3.14128475","277","3.141646","277","3.141482","277","3.14202525","277","3.140641","277","277"
"56","3.14153775","282","3.141676","282","3.141889","282","3.14141925","282","3.141727","282","3.141059","282","3.141374","282","3.1416895","282","3.1416475","282","3.14141525","282","3.14160575","282","3.14140275","282","3.1415685","282","3.142086","282","282"
"57","3.1420835","282","3.14120075","282","3.141381","282","3.14170175","282","3.14096775","282","3.14129975","282","3.14088675","282","3.14183525","282","3.14150775","282","3.14141175","282","3.141807","282","3.1414445","282","3.14125575","282","3.14146525","282","283"
"58","3.14197175","277","3.14231375","277","3.14124725","277","3.1413375","277","3.1421345","277","3.14121875","277","3.140782","277","3.141603","277","3.141298","277","3.141481","277","3.142022","277","3.14134725","277","3.1412225","277","3.1417985","277","278"
"59","3.14093475","276","3.1421195","276","3.1420725","276","3.1415405","276","3.141744","276","3.14112","276","3.14155475","276","3.141473","276","3.14061375","276","3.14156125","276","3.14132525","276","3.14094825","276","3.141405","276","3.1420415","276","276"
"60","3.1410215","280","3.140953","280","3.14201775","280","3.141559","280","3.1419115","280","3.14210725","280","3.141494","280","3.14176125","280","3.1414815","280","3.14202125","280","3.14149125","280","3.14157875","280","3.14177475","280","3.1414435","280","280"
"61","3.1416025","284","3.14132775","284","3.14159325","284","3.141023","284","3.141854","284","3.1412485","284","3.14138825","284","3.1415265","284","3.14210325","284","3.14243675","284","3.14125825","284","3.14122475","284","3.14216125","284","3.14130375","284","284"
"62","3.141789","269","3.141862","269","3.14112325","269","3.1420765","269","3.14146975","269","3.14159725","269","3.14136525","269","3.14192225","269","3.14249775","269","3.14139375","269","3.14127275","269","3.14127775","269","3.14146125","269","3.14200525","269","269"
