"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Job[11] Result","Job[11] Runtime (ms)","Job[12] Result","Job[12] Runtime (ms)","Job[13] Result","Job[13] Runtime (ms)","Job[14] Result","Job[14] Runtime (ms)","Job[15] Result","Job[15] Runtime (ms)","Total Runtime (ms)"
"73","3.141581","292","3.141181","292","3.14154125","292","3.14107175","292","3.14148125","292","3.14195025","292","3.1417735","292","3.141904","292","3.141487","292","3.1415475","292","3.141343","292","3.1419145","292","3.14159575","292","3.1415965","292","3.141888","292","292"
"74","3.14214375","291","3.1411665","291","3.14085925","291","3.1421175","291","3.141233","291","3.1411935","291","3.1415535","291","3.1418895","291","3.1412795","291","3.14144675","291","3.14174775","291","3.141493","291","3.14112975","291","3.14146975","291","3.14193975","291","291"
"75","3.1415255","303","3.14171175","303","3.14106825","303","3.1416605","303","3.14178775","303","3.14191675","303","3.141515","303","3.14133025","303","3.1418725","303","3.1419375","303","3.14136","303","3.14195875","303","3.14146825","303","3.1415575","303","3.14109975","303","303"
"76","3.14179575","294","3.142001","294","3.14121825","294","3.1417115","294","3.14206675","294","3.14174175","294","3.14129375","294","3.140952","294","3.1413265","294","3.142165","294","3.1417735","294","3.1421175","294","3.141074","294","3.141302","294","3.141606","294","294"
"77","3.14224575","298","3.14186225","298","3.1413475","298","3.14210475","298","3.14147025","298","3.14159975","298","3.14140725","298","3.14221625","298","3.141347","298","3.14200275","298","3.141941","298","3.1408595","298","3.14145175","298","3.1415365","298","3.14183675","298","298"
"78","3.141597","299","3.1419795","299","3.14125125","299","3.141598","299","3.14222825","299","3.141946","299","3.14163075","299","3.14182975","299","3.14152075","299","3.1413885","299","3.14189675","299","3.14125075","299","3.14146225","299","3.14164025","299","3.14205975","299","300"
"79","3.1414225","297","3.140986","297","3.14153225","297","3.1420475","297","3.14162775","297","3.14150575","297","3.14112025","297","3.141683","297","3.141953","297","3.14142675","297","3.141553","297","3.1413275","297","3.1412455","297","3.14167225","297","3.1422635","297","297"
"80","3.141755","289","3.1415745","289","3.14111475","289","3.1419175","289","3.14118925","289","3.1413055","289","3.14135275","289","3.14136625","289","3.1419785","289","3.142048","289","3.141342","289","3.14171125","289","3.14200725","289","3.141658","289","3.141275","289","301"
"81","3.14147925","304","3.14139225","304","3.141314","304","3.14154975","304","3.141102","304","3.1420245","304","3.141453","304","3.14152775","304","3.141253","304","3.14182675","304","3.1412725","304","3.141511","304","3.1416955","304","3.1422985","304","3.14180025","304","304"
"82","3.141608","295","3.141895","295","3.14152725","295","3.1416845","295","3.14136475","295","3.14125725","295","3.14216875","295","3.14052025","295","3.14129775","295","3.141514","295","3.14171425","295","3.141081","295","3.1417895","295","3.14117325","295","3.14188675","295","295"
"83","3.141032","299","3.14204175","299","3.14150075","299","3.14141525","299","3.141273","299","3.14206275","299","3.14154825","299","3.1414425","299","3.141116","299","3.14196725","299","3.14184675","299","3.14148625","299","3.141157","299","3.14215025","299","3.14151875","299","299"
"84","3.14252125","302","3.14161425","302","3.14203175","302","3.14207825","302","3.1407665","302","3.14104375","302","3.142184","302","3.14180325","302","3.1420265","302","3.14146325","302","3.14191175","302","3.1416015","302","3.14128975","302","3.1414825","302","3.14141575","302","302"
"85","3.1416535","301","3.1410065","301","3.14141475","301","3.14122675","301","3.14155275","301","3.14170025","301","3.1418395","301","3.1427995","301","3.14204325","301","3.14216025","301","3.141497","301","3.140901","301","3.141749","301","3.1417375","301","3.14187325","301","301"
"86","3.141639","306","3.142217","306","3.14131725","306","3.14199525","306","3.14183225","306","3.14133975","306","3.14148625","306","3.14087","306","3.14125725","306","3.14154025","306","3.14161125","306","3.14148825","306","3.14171275","306","3.14217325","306","3.141185","306","306"
"87","3.1414535","299","3.1426415","299","3.1408115","299","3.14101625","299","3.14205425","299","3.14213475","299","3.14234475","299","3.14159675","299","3.1415295","299","3.14117625","299","3.14177475","299","3.14132","299","3.141292","299","3.141465","299","3.14175125","299","299"
"88","3.14105375","298","3.141589","298","3.141316","298","3.14169375","298","3.140909","298","3.14163975","298","3.1416585","298","3.14184925","298","3.14183225","298","3.14135925","298","3.141473","298","3.141283","298","3.141435","298","3.14200375","298","3.142167","298","298"
"89","3.141209","302","3.141068","302","3.14138575","302","3.142089","302","3.1412545","302","3.14171975","302","3.14180175","302","3.14113375","302","3.1410385","302","3.14211375","302","3.141149","302","3.140915","302","3.141518","302","3.1415845","302","3.1416855","302","302"
"90","3.14202125","300","3.14188925","300","3.14160625","300","3.141582","300","3.1422765","300","3.14205325","300","3.14148125","300","3.14209125","300","3.14123425","300","3.141548","300","3.1411745","300","3.141883","300","3.141113","300","3.141575","300","3.1414255","300","301"
