"Iteration Count","Job[1] Result","Job[1] Runtime (ms)","Job[2] Result","Job[2] Runtime (ms)","Job[3] Result","Job[3] Runtime (ms)","Job[4] Result","Job[4] Runtime (ms)","Job[5] Result","Job[5] Runtime (ms)","Job[6] Result","Job[6] Runtime (ms)","Job[7] Result","Job[7] Runtime (ms)","Job[8] Result","Job[8] Runtime (ms)","Job[9] Result","Job[9] Runtime (ms)","Job[10] Result","Job[10] Runtime (ms)","Total Runtime (ms)"
"68","3.14196725","196","3.14093075","196","3.14202025","196","3.141666","196","3.141565","196","3.141381","196","3.14214775","196","3.142133","196","3.1413145","196","3.14176525","196","196"
"69","3.14043925","208","3.140719","208","3.14169025","208","3.142042","208","3.1423835","208","3.14160925","208","3.14173325","208","3.14184575","208","3.141684","208","3.1412655","208","208"
"70","3.1422765","207","3.14205725","207","3.14125925","207","3.14059775","207","3.141473","207","3.14172575","207","3.14111175","207","3.1409975","207","3.1404935","207","3.14206275","207","207"
"71","3.1416005","191","3.141984","191","3.1412255","191","3.1417925","191","3.14131325","191","3.1410095","191","3.14124925","191","3.141675","191","3.14141775","191","3.14157975","191","197"
"72","3.14111225","208","3.14169425","208","3.14124725","208","3.14116375","208","3.14169575","208","3.1414325","208","3.141634","208","3.141362","208","3.1418355","208","3.141464","208","208"
"73","3.14228475","198","3.1415565","198","3.14128275","198","3.1422355","198","3.1412125","198","3.141772","198","3.1419685","198","3.14129575","198","3.14167175","198","3.1414875","198","198"
"74","3.1416685","194","3.1415715","194","3.14079725","194","3.14204925","194","3.141798","194","3.141549","194","3.1415205","194","3.14175775","194","3.14099175","194","3.14158475","194","194"
"75","3.14080875","203","3.141256","203","3.141862","203","3.14143175","203","3.14209775","203","3.14139775","203","3.14219475","203","3.14136675","203","3.1427695","203","3.14119275","203","203"
"76","3.14162125","192","3.1414885","192","3.14067225","192","3.14180975","192","3.1417785","192","3.142573","192","3.14116375","192","3.14151675","192","3.14167725","192","3.14093425","192","192"
"77","3.141733","205","3.1419295","205","3.14084125","205","3.14078625","205","3.14102825","205","3.14165425","205","3.14146525","205","3.1419405","205","3.14184525","205","3.14241325","205","205"
"78","3.14126175","210","3.14109725","210","3.1414155","210","3.14119075","210","3.14138025","210","3.141973","210","3.1415945","210","3.14198125","210","3.141739","210","3.14138725","210","210"
"79","3.14119825","193","3.14141225","193","3.1413175","193","3.14136275","193","3.14201425","193","3.14144025","193","3.1418205","193","3.141669","193","3.14165925","193","3.14095325","193","193"
"80","3.14177525","204","3.14154875","204","3.14121025","204","3.1418995","204","3.141637","204","3.141401","204","3.141751","204","3.141136","204","3.14090975","204","3.1418935","204","204"
"81","3.14119725","207","3.141284","207","3.14203525","207","3.1415545","207","3.14171875","207","3.14206975","207","3.1414565","207","3.1420335","207","3.1413575","207","3.14122825","207","207"
"82","3.14088375","196","3.141584","196","3.1414275","196","3.1414385","196","3.141799","196","3.1408985","196","3.141635","196","3.1418775","196","3.14168625","196","3.1411725","196","196"
"83","3.14230175","210","3.1418715","210","3.14176875","210","3.14109625","210","3.14215475","210","3.14180675","210","3.14208","210","3.14212025","210","3.141933","210","3.14159725","210","210"
"84","3.1421095","203","3.1411395","203","3.142462","203","3.14132625","203","3.14174925","203","3.1413745","203","3.141151","203","3.14126475","203","3.14184575","203","3.14150025","203","204"
"85","3.14170675","212","3.141545","212","3.1409515","212","3.1417805","212","3.14195775","212","3.141758","212","3.141458","212","3.14207975","212","3.1415995","212","3.14157","212","212"
"86","3.14159225","207","3.1411305","207","3.1413785","207","3.14130575","207","3.14158325","207","3.142188","207","3.14189025","207","3.1416205","207","3.140969","207","3.141565","207","207"
"87","3.1415","194","3.14062675","194","3.14200525","194","3.14158","194","3.14194975","194","3.141749","194","3.14112725","194","3.14094975","194","3.14157325","194","3.1424575","194","194"
"88","3.14204275","207","3.141675","207","3.14195475","207","3.14144525","207","3.1414625","207","3.1418215","207","3.1410535","207","3.14150825","207","3.1423775","207","3.141916","207","208"
"89","3.1423795","211","3.1411755","211","3.14252725","211","3.14200825","211","3.1413265","211","3.1415835","211","3.141715","211","3.1418585","211","3.141573","211","3.14139225","211","211"
"90","3.141032","195","3.1416065","195","3.14122925","195","3.14182875","195","3.142041","195","3.14180075","195","3.1417815","195","3.1417615","195","3.14063075","195","3.14138475","195","195"
"91","3.1415","205","3.14134775","205","3.141759","205","3.14224575","205","3.14197925","205","3.14138525","205","3.14109725","205","3.141277","205","3.141193","205","3.1421165","205","205"
"92","3.14233975","202","3.14182825","202","3.1416965","202","3.14096275","202","3.142257","202","3.1420265","202","3.14157775","202","3.14133525","202","3.14114925","202","3.1412045","202","203"
"93","3.141591","193","3.14119325","193","3.14161075","193","3.14248075","193","3.14128425","193","3.141737","193","3.14124025","193","3.141412","193","3.14181975","193","3.1416535","193","193"
"94","3.14160225","211","3.1412625","211","3.14184375","211","3.141613","211","3.141417","211","3.14174025","211","3.14110175","211","3.14131425","211","3.14186025","211","3.141892","211","211"
"95","3.14117825","202","3.14160675","202","3.14202575","202","3.14198725","202","3.1412395","202","3.14256325","202","3.14155175","202","3.14177725","202","3.1418435","202","3.1414135","202","202"
"96","3.1417775","215","3.14153275","215","3.1413075","215","3.1417065","215","3.14156975","215","3.1416955","215","3.141673","215","3.14154325","215","3.14113675","215","3.14164625","215","215"
"97","3.1412385","210","3.14226275","210","3.1420385","210","3.14095775","210","3.1416945","210","3.14180825","210","3.141399","210","3.14222075","210","3.1419815","210","3.1411255","210","210"
"98","3.14103825","196","3.141466","196","3.14174075","196","3.14110225","196","3.14225925","196","3.14165175","196","3.142162","196","3.14167225","196","3.14179275","196","3.1418675","196","196"
"99","3.14146125","196","3.14197125","196","3.1419785","196","3.141781","196","3.14226525","196","3.141171","196","3.1416165","196","3.1417715","196","3.14135175","196","3.14215575","196","196"
"100","3.14176225","204","3.141565","204","3.14166325","204","3.14183125","204","3.141708","204","3.14194525","204","3.14111075","204","3.14195325","204","3.14122675","204","3.14212425","204","204"
